address,city,lat,lng,pets,agent_name,brokerage_name,state,building_name,city_state,amenity_tags,building_amenity_tags,date_available,max_price,min_price,max_bedrooms,min_bedrooms,max_bathrooms,min_bathrooms,floorplan_count,min_lease_days,max_lease_days,min_square_feet,max_square_feet,zipcode,max_all_bathrooms,min_all_bathrooms
30 Springhill Rd,Halifax,44.68080385189372,-63.59150443808818,"[1, 2, 3]",,VIDA Communities Inc,NS,30 Springhill Road,halifax-ns,['Onsite Laundry'],"['Onsite Laundry', 'Fitness Center', 'Heat and Hot Water Included', 'Community Green Space', 'Coin Op Laundry', 'VIDA Community Events and Contests']",,980,980,1,1,1,1,1,365.0,365.0,633,633,B3A 4H5,"[1, 0]","[1, 0]"
534 Herring Cove Rd,Halifax,44.60049559961745,-63.6071561257206,"[1, 2, 3]",,VIDA Communities Inc,NS,534 Herring Cove Road,halifax-ns,['Onsite Laundry'],"['Onsite Laundry', 'Heat and Hot Water Included', 'Coin Op Laundry On-site', 'Parking On-site ($25 per month)', 'Discounts and Perks via our VIDA Perks Platform']",,1380,1380,2,2,1,1,1,365.0,365.0,932,932,B3R 1X4,"[1, 0]","[1, 0]"
8 Mandaville Crt,Halifax,44.65305717583766,-63.6521608207806,"[1, 2, 3]",,VIDA Communities Inc,NS,8 Mandaville Court,halifax-ns,"['In-Unit Laundry', 'Onsite Laundry']","['Onsite Laundry', 'In-Unit Laundry', 'Outdoor Space', 'Private Entrance', 'Participate in VIDA Community Events and Contests', 'Close to Schools, Playgrounds and Parks', 'Paid Parking Available ($25 per Spot)']",,1230,1230,1,1,1,1,1,365.0,365.0,635,635,B3M 3H6,"[1, 0]","[1, 0]"
76 Fairfax Dr,Halifax,44.66031985222397,-63.6723634888221,"[1, 2, 3]",Fairfax Suites,Hazelview Properties,NS,Fairfax Suites,halifax-ns,"['Heat', 'Balcony', 'Hot Water', 'Assigned Parking', 'Dishwasher']","['Assigned Parking', 'Dishwasher', 'Balcony', 'On-Site Management', 'Garage Parking', 'Storage', 'Elevator', 'Stove', 'Nearby Shopping', 'Fridge', 'Close to Schools', 'Close to Public Transit', 'Close to Parks', 'Onsite Professional Management', 'Monitored Security Cameras', 'Close to Community Centre', 'Close to Restaurants Pubs and Entertainment', 'Located in One of The Citys Hottest Areas']",,1785,1785,1,1,1,1,1,365.0,365.0,9223372036854775807,-1,B3S 1M8,"[1, 0]","[1, 0]"
41 Cowie Hill Rd,Halifax,44.632198293735776,-63.61992064376222,"[1, 2, 3]",Terrace View,Hazelview Properties,NS,Terrace View,halifax-ns,"['Heat', 'Onsite Laundry', 'Microwave', 'Hot Water', 'Dishwasher']","['Onsite Laundry', 'Dishwasher', 'On-Site Management', 'Fitness Center', 'Storage', 'Elevator', 'Microwave', 'No Smoking Allowed', 'Dishwasher Available', 'Close to Schools', 'Close to Public Transit', 'Close to Parks', 'Onsite Professional Management', 'Panoramic Views', 'Monitored Security Cameras', 'Close to Community Centre', 'Fully Equipped Fitness Facilities', 'Stainless Steel Appliance Microwave', 'Stainless Steel Stove Fridge and Dishwasher']",,2050,2050,2,2,1,1,1,365.0,365.0,9223372036854775807,-1,B3P 2M7,"[1, 0]","[1, 0]"
16 Bently Dr,Halifax,44.64923668039033,-63.65644957908244,"[1, 2, 3]",Azure,Hazelview Properties,NS,Azure,halifax-ns,"['Heat', 'Onsite Laundry', 'Balcony', 'Hot Water', 'Assigned Parking', 'In-Unit Laundry']","['Onsite Laundry', 'Assigned Parking', 'Balcony', 'In-Unit Laundry', 'On-Site Management', 'Fitness Center', 'Garage Parking', 'Storage', 'Party Room', 'Gym', 'No Smoking Allowed', 'Close to Public Transit', 'Close to Parks', 'Onsite Professional Management', 'Close to Restaurants Pubs and Entertainment', 'Located In A Quiet Park Like Setting']",2024-05-01,2300,2210,2,2,2,2,1,365.0,365.0,9223372036854775807,-1,B3S 0G9,"[2, 0]","[2, 0]"
7037 Mumford Road,Halifax,44.6501633,-63.6238697,[1],Kirke Mitchell,Re/Nat Home Renters,NS,,halifax-ns,"['Outdoor Space', 'Hardwood Floor', 'Garden', 'Air Conditioning', 'Central Heat', 'Balcony', 'Fitness Center', 'Walk-in Closet', 'Fireplace', 'Assigned Parking', 'In-Unit Laundry', 'High Ceilings', 'Dishwasher']","['On-Site Management', 'Fitness Center', 'Residents Lounge', 'Garage Parking', 'Storage', 'Business Center', 'Roof Deck', 'Outdoor Space', 'Controlled Access', 'Wheelchair Accessible', 'Elevator']",2024-06-01,3695,3695,2,2,2,2,1,,,2000,2000,B3L 2J1,"[2, 0]","[2, 0]"
5450 Kaye Street #903,Halifax,44.6621893,-63.5976201,[1],Kirke Mitchell,Re/Nat Home Renters,NS,,halifax-ns,"['Hardwood Floor', 'Air Conditioning', 'Central Heat', 'Balcony', 'Walk-in Closet', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['On-Site Management', 'Garage Parking', 'Storage', 'Elevator']",2024-04-01,4695,4695,2,2,2,2,1,,,1497,1497,B3K 1W8,"[2, 0]","[2, 0]"
2440 Agricola Street #204,Halifax,44.65340399999999,-63.590975,[1],Camp Halifax,,NS,,halifax-ns,"['Outdoor Space', 'Air Conditioning', 'Balcony', 'Fitness Center', 'In-Unit Laundry', 'Dishwasher']","['Fitness Center', 'Roof Deck', 'Outdoor Space', 'Controlled Access', 'Elevator']",2024-07-01,2200,2200,2,2,1,1,1,,,738,738,B3K 4C2,"[1, 0]","[1, 0]"
2440 Agricola Street #402,Halifax,44.65340399999999,-63.590975,[1],Camp Halifax,,NS,,halifax-ns,"['Air Conditioning', 'Balcony', 'Fitness Center', 'In-Unit Laundry', 'Dishwasher']","['Fitness Center', 'Roof Deck', 'Controlled Access', 'Elevator']",2024-05-01,1800,1800,0,0,1,1,1,,,508,508,B3K 4C2,"[1, 0]","[1, 0]"
