,Rent,Bedrooms,Bathrooms,Parking,Size,Seller Name,Latitude,Longitude,Address,Parking Cost,Heat,Water,Hydro,Balcony,Yard,Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer,bathroom_p5,bedroom_den,bachelor_studio,major_region,minor_region,Furnished_Yes,Air Conditioning_Yes,Seller_Professional,walkScore,transitScore,bikeScore,Cleaned Seller Name
185,2195,1,1,0,676,thegeorgeresidence.com,44.64601,-63.59049,"6016 Pepperell Street, Halifax, NS, B3H 2N8",-1.0,0,0,0,0,0,1,0,1,1,0,1,0,Halifax Peninsula,Downtown,False,False,True,96,68,84,Thegeorgeresidence
186,2250,1,1,0,790,flynnflats.com,44.64331,-63.57052,"1363 Hollis Street, Halifax, NS, B3J 1T8",160.0,0,0,0,0,0,1,0,1,1,1,1,0,Halifax Peninsula,Downtown,False,False,True,97,72,63,Flynnflats
187,1795,1,1,0,409,444rent.com,44.64135,-63.56978,"1254 Hollis Street, Halifax, NS, B3J 1T6",-1.0,1,1,0,0,0,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,96,67,63,444rent
188,2430,2,2,1,998,,44.64135,-63.58126,"5770 Spring Garden Rd, Halifax, NS B3H 4J8",0.0,0,1,0,1,1,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,True,False,99,67,75,Owner
189,2395,2,1,0,1100,,44.70672,-63.66589,"Millview Avenue, Bedford, NS",-1.0,0,1,0,1,1,1,0,1,1,0,1,0,Bedford,Bedford Basin,False,True,False,53,37,18,Owner
190,2350,2,1,0,850,,44.65071,-63.60731,"Halifax, NS B3L 1V7",-1.0,0,1,0,0,0,1,0,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,85,65,71,Owner
191,2400,2,1,1,1120,,44.67101,-63.66389,"Halifax, NS B3M 3W5",0.0,0,1,0,1,0,1,0,0,0,1,1,0,Mainland Halifax,Clayton Park,False,False,False,68,50,40,Owner
192,2495,2,2,0,1385,,44.72362,-63.74914,"Appaloosa Run, Hammonds Plains, NS",125.0,1,1,0,1,0,1,0,1,1,0,1,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
193,1600,1,1,0,800,,44.66107,-63.63145,"37 Main Ave, Halifax, NS B3M 1A2",-1.0,0,0,0,0,0,0,0,0,0,0,0,0,Mainland Halifax,Clayton Park,False,False,False,82,57,56,Owner
194,1449,1,1,0,900,,44.6459,-63.5732134,"1585 Barrington St, Halifax, NS B3J 1Z8",1.0,0,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,False,99,73,65,Owner
195,2635,2,1,0,830,www.capreit.ca,44.64103165,-63.57958667,"1333 South Park Street, Halifax, NS, B3J 2K9",1.0,0,1,0,1,0,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,67,Capreit
196,1880,0,1,0,500,www.capreit.ca,44.63530235,-63.57682805,"1030 South Park Street, Halifax, NS, B3J 2K9",1.0,0,1,0,1,0,0,1,0,1,0,0,1,Halifax Peninsula,SouthEnd,False,False,True,99,67,69,Capreit
197,2655,2,1,0,1005,www.capreit.ca,44.64159,-63.58123,"5770 Spring Garden Road, Halifax, NS, B3H 4J8",,0,1,0,1,0,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,75,Capreit
198,2630,2,1,0,1005,www.capreit.ca,44.6412687,-63.58115585,"5770 Spring Garden Road, Halifax, NS, B3H 4J8",1.0,0,1,0,1,0,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,75,Capreit
199,1985,1,1,0,900,www.capreit.ca,44.69644,-63.66276,"40 Charlotte Lane, Halifax, NS, B3M 4M2",,1,1,0,1,0,1,1,1,1,0,0,0,Bedford,Bedford Basin,False,False,True,1,39,18,Capreit
200,1895,1,1,0,780,www.capreit.ca,44.6668671,-63.66081929,"81 Radcliffe Drive, Halifax, NS, B3M 4L4",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,True,70,55,39,Capreit
201,1970,1,1,0,900,www.capreit.ca,44.69564025,-63.66362616,"40 Charlotte Lane, Halifax, NS, B3M 4M2",1.0,1,1,0,1,0,1,1,1,1,0,0,0,Bedford,Bedford Basin,False,False,True,1,39,18,Capreit
202,2295,2,1,0,1470,www.capreit.ca,44.69564025,-63.66362616,"40 Charlotte Lane, Halifax, NS, B3M 4M2",1.0,1,1,0,1,0,1,1,1,1,0,0,0,Bedford,Bedford Basin,False,False,True,1,39,18,Capreit
203,2385,2,1,0,1470,www.capreit.ca,44.69644,-63.66276,"40 Charlotte Lane, Halifax, NS, B3M 4M2",,1,1,0,1,0,1,1,1,1,0,0,0,Bedford,Bedford Basin,False,False,True,1,39,18,Capreit
204,2025,1,1,0,667,hillsidesuites.com,44.63994995,-63.57190629,"5251 South Street, Halifax, NS, B3J 4B2",160.0,0,0,0,0,0,1,0,1,1,0,1,0,Halifax Peninsula,SouthEnd,False,False,True,98,74,67,Hillsidesuites
205,2195,1,1,0,761,thegeorgeresidence.com,44.646277,-63.5904728,"6016 Pepperell Street, Halifax, NS, B3H 2N8",1.0,0,0,0,0,0,1,0,1,1,0,1,0,Halifax Peninsula,Downtown,False,False,True,96,68,84,Thegeorgeresidence
206,2795,2,2,0,1356,west22living.com,44.65013635,-63.62396976,"7037 Mumford Rd, Halifax, NS, B3L 2J1",1.0,0,0,0,0,0,1,0,1,1,0,1,0,Halifax Peninsula,WestEnd,False,False,True,80,63,74,West22living
207,1590,1,1,1,600,,44.6415989,-63.6271499,"16 Keating Road, Halifax, NS",0.0,0,1,0,1,1,1,0,0,1,0,0,0,Mainland Halifax,Armdale,False,True,False,66,56,59,Owner
208,1599,1,1,0,500,,44.6802117,-63.5844766,"252 Victoria Road, Dartmouth, NS, B3A 1X1",50.0,1,1,0,0,0,0,1,1,1,0,0,0,Dartmouth,Burnside,False,False,True,73,54,53,Not Given
209,1450,0,1,0,400,,44.6802117,-63.5844766,"252 Victoria Road, Dartmouth, NS, B3A 1X1",50.0,0,1,0,0,1,0,1,1,1,0,0,1,Dartmouth,Burnside,False,False,True,73,54,53,Not Given
210,1749,1,1,0,600,,44.6801882,-63.58744736,"69 Farrell St, Dartmouth, NS, B3A 4B3",2.0,1,1,0,0,1,0,1,1,1,0,0,0,Dartmouth,Burnside,False,False,True,70,52,51,Not Given
211,2100,2,1,0,650,,44.60739645,-63.61430699,"432 Herring Cove Road, Halifax, NS, B3R 1W4",100.0,0,1,0,1,1,1,0,1,1,0,0,0,Mainland Halifax,Spryfield,False,True,True,69,41,31,Not Given
212,1895,1,1,0,594,,44.6625028,-63.5986608,"Gottingen Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,96,70,87,Owner
213,2600,2,1,0,840,www.templetonproperties.ca,44.6380516,-63.5755447,"5633 Fenwick St., Halifax, NS, B3H 1R1",1.0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,97,66,66,Templetonproperties
214,2075,2,1,1,950,,44.6333366,-63.62952201,"36 Kelly St, Halifax, NS B3N 1W2",0.0,0,0,0,0,0,0,0,0,0,0,0,0,Mainland Halifax,Armdale,False,True,False,38,44,51,Owner
215,2295,2,2,0,1225,,44.7252049,-63.7483418,"Appaloosa Run, Hammonds Plains, NS",125.0,1,1,0,1,0,1,0,1,1,0,0,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
216,1196,1,1,0,900,,44.64177504,-63.59916197,"Halifax, NS B3H 3Z6",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,92,63,69,Owner
217,1850,1,1,1,742,www.elkproperty.com,44.71179066,-63.67899716,"91 Nelson's Landing, Bedford, NS, B4A 3X4",0.0,0,0,0,1,0,1,0,1,0,0,0,0,Bedford,Bedford Basin,False,False,True,63,34,27,Elkproperty
218,1800,2,1,1,800,,44.6822608,-63.58751735,"4 Brule Street, Dartmouth, NS",0.0,1,1,0,0,1,0,1,0,1,0,0,0,Dartmouth,Burnside,False,False,False,73,51,47,Owner
219,1749,1,1,0,550,www.northpointhfx.com,44.6359593,-63.57713101,"5713 Victoria Road, Halifax, NS, B3H 2Y3",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,93,64,67,Northpointhfx
220,1799,1,1,0,600,www.northpointhfx.com,44.6651075,-63.61406597,"6140 Lady Hammond Road, Halifax, NS, B3K 2R5",2.0,0,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,True,88,55,47,Northpointhfx
221,3099,2,2,0,1000,www.northpointhfx.com,44.63403255,-63.57655306,"5726 Inglis St, Halifax, NS, B3H 1K4",1.0,1,1,0,0,0,1,0,1,1,1,0,0,Halifax Peninsula,SouthEnd,False,True,True,90,62,68,Northpointhfx
222,2599,2,1,0,900,www.northpointhfx.com,44.6359422,-63.58631755,"6056 South Street, Halifax, NS, B3H 1T1",2.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,91,62,61,Northpointhfx
223,2449,2,1,0,800,www.northpointhfx.com,44.6359593,-63.57713101,"5713 Victoria Rd, Halifax, NS, B3H 2Y3",1.0,1,1,0,1,0,0,1,0,1,1,0,0,Halifax Peninsula,SouthEnd,False,False,True,93,64,67,Northpointhfx
224,1845,1,2,1,1100,,44.7794374,-63.6792912,"Kipling Drive, Lower Sackville, NS",0.0,0,1,0,0,1,1,0,1,1,0,0,0,Sackville,Lower Sackville,False,False,False,50,36,27,Owner
225,2100,2,2,1,1100,,44.766615,-63.68486427,"24 Sackville Cross Road, Lower Sackville, NS",0.0,1,1,0,1,0,1,0,1,1,0,0,0,Sackville,Lower Sackville,False,True,True,74,44,25,Not Given
226,2195,2,2,0,1260,,44.7252049,-63.7483418,"Appaloosa Run, Hammonds Plains, NS",75.0,1,1,0,1,0,1,0,1,1,0,0,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
227,2300,2,1,1,1000,,44.6733333,-63.6128827,"Kencrest Avenue, Halifax, NS",0.0,1,1,0,0,0,1,0,0,0,0,0,0,Halifax Peninsula,NorthEnd,False,False,False,65,47,36,Owner
228,2450,2,2,0,1200,www.horizoncourt.ca,44.6901999,-63.56280306,"11 Horizon Court, Dartmouth, NS, B3A 4X5",2.0,0,0,0,0,0,1,0,1,1,0,1,0,Dartmouth,Burnside,False,False,True,43,44,48,Horizoncourt
229,2250,2,1,0,1000,,44.6386554,-63.5706108,"5221 Kent Street, Halifax, NS",100.0,1,1,0,0,1,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,94,65,61,Owner
230,2985,3,2,0,1533,www.skylineliving.ca,44.7089938,-63.6981306,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",1.0,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
231,2200,1,1,0,700,www.capreit.ca,44.64965625,-63.57908638,"1920 Brunswick Street, Halifax, NS, B3J 0C5",,0,0,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,98,73,64,Capreit
232,2220,1,1,0,634,www.capreit.ca,44.64965625,-63.57908638,"1920 Brunswick Street, Halifax, NS, B3J 0C5",1.0,0,0,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,98,73,64,Capreit
233,2080,1,1,0,743,www.capreit.ca,44.6412687,-63.58115585,"5770 Spring Garden Road, Halifax, NS, B3H 4J8",1.0,0,1,0,1,0,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,75,Capreit
234,2100,1,1,0,743,www.capreit.ca,44.64159,-63.58123,"5770 Spring Garden Road, Halifax, NS, B3H 4J8",,0,1,0,1,0,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,75,Capreit
235,2110,1,1,0,614,www.capreit.ca,44.64103165,-63.57958667,"1333 South Park Street, Halifax, NS, B3J 2K9",,0,1,0,1,0,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,67,Capreit
236,2250,3,1,1,1500,,44.67376847,-63.64634397,"Halifax, NS B3M 2J8",0.0,1,1,0,0,1,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,True,55,48,25,Not Given
237,1780,0,1,0,500,www.capreit.ca,44.63511,-63.57645,"1030 South Park Street, Halifax, NS, B3J 2K9",,0,1,0,1,0,0,1,0,1,0,0,1,Halifax Peninsula,SouthEnd,False,False,True,99,67,69,Capreit
238,2695,2,1,0,830,www.capreit.ca,44.64039,-63.57867,"1333 South Park Street, Halifax, NS, B3J 2K9",,0,1,0,1,0,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,67,Capreit
239,2640,2,1,0,830,www.capreit.ca,44.64039,-63.57867,"1333 South Park Street, Halifax, NS, B3J 2K9",,0,1,0,1,0,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,67,Capreit
240,1695,2,1,1,1000,,44.6713553,-63.670042,"25 Montgomery Court, Halifax, NS, B3M 4L9",0.0,1,1,0,1,0,0,1,1,1,0,1,0,Mainland Halifax,Clayton Park,False,False,True,59,45,32,Not Given
241,2000,1,1,0,1062,www.horizoncourt.ca,44.6890137,-63.56292835,"10 Horizon Court, Dartmouth, NS, B3A 0A4",2.0,0,0,0,1,0,0,1,1,1,1,1,0,Dartmouth,Burnside,False,False,True,53,45,56,Horizoncourt
242,1860,1,1,0,800,,44.64235626,-63.59768921,"Halifax, NS B3H 2K5",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,96,64,68,Owner
243,2700,2,2,0,905,www.templetonproperties.ca,44.6375649,-63.5753605,"5601 Fenwick St., Halifax, NS, B3H 1R1",1.0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,96,66,63,Templetonproperties
244,1700,1,1,0,652,www.arcmanagement.ca,44.627253,-63.58370533,"Halifax, NS B3H 4K3",1.0,1,1,1,1,1,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,54,51,53,Arcmanagement
245,1995,1,1,0,450,www.templetonproperties.ca,44.6380516,-63.5755447,"5633 Fenwick St., Halifax, NS, B3H 1R1",1.0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,97,66,66,Templetonproperties
246,1525,1,1,1,800,,44.67660465,-63.64938687,"238 Bedford Highway, Halifax, NS, B3M 2K3",0.0,1,1,0,0,0,0,1,0,1,0,0,0,Mainland Halifax,Clayton Park,False,False,True,57,46,25,Not Given
247,2900,2,1,0,1090,www.templetonproperties.ca,44.6380516,-63.5755447,"5633 Fenwick St., Halifax, NS, B3H 1R1",1.0,0,0,0,0,0,0,0,0,0,1,0,0,Halifax Peninsula,SouthEnd,False,False,True,97,66,66,Templetonproperties
248,2500,2,2,0,674,www.rosnomanagement.ca,44.6598299,-63.5965716,"5550 Bilby Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,True,97,67,77,Rosnomanagement
249,1495,3,1,1,850,,44.6806244,-63.55218224,"15 Lakeview Point Road, Dartmouth, NS",0.0,1,1,0,0,0,0,1,0,1,0,0,0,Dartmouth,Dartmouth Downtown,False,False,False,64,45,81,Owner
250,1250,2,1,0,600,,44.6392367,-63.5782403,"South Park Street, Halifax, NS",1.0,1,1,1,0,0,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,True,False,False,99,67,69,Owner
251,2300,2,1,1,900,,44.6607592,-63.6315154,"Main Avenue, Halifax, NS",0.0,0,0,1,0,1,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,True,False,81,53,41,Owner
252,1950,2,1,0,944,www.horizoncourt.ca,44.6849359,-63.5543925,"1-11 Brookdale Court, Dartmouth, NS, B3A 4P7",2.0,0,0,0,1,0,1,0,1,1,0,0,0,Dartmouth,Dartmouth Downtown,False,False,True,53,46,66,Horizoncourt
253,2095,2,1,0,900,,44.7076046,-63.666767,"Millview Avenue, Bedford, NS",75.0,0,1,0,0,0,1,0,1,1,0,0,0,Bedford,Bedford Basin,False,True,False,53,37,18,Owner
254,2165,1,1,0,1005,www.skylineliving.ca,44.7089938,-63.6981306,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",1.0,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
255,1425,0,1,0,400,www.arcmanagement.ca,44.63905776,-63.57183796,"Halifax, NS B3H 4K2",1.0,1,1,1,0,1,0,1,1,1,0,0,1,Halifax Peninsula,SouthEnd,False,False,True,95,65,54,Arcmanagement
256,2200,2,1,1,1000,,44.6733333,-63.6128827,"Kencrest Avenue, Halifax, NS",0.0,1,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,False,False,65,47,36,Owner
257,1750,2,1,0,600,,44.665329,-63.61604107,"Halifax, NS B3K 2S1",1.0,1,1,1,0,0,0,0,0,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,84,57,51,Owner
258,1375,1,1,0,600,,44.6662101,-63.6369698,"Bayview Rd, Halifax, NS B3M",1.0,1,1,1,0,0,0,0,0,0,0,0,0,Mainland Halifax,Clayton Park,True,True,False,46,52,17,Owner
259,2000,2,1,1,625,,44.6368926,-63.62944938,"Halifax, NS B3N 1H3",0.0,0,0,0,1,1,0,0,0,0,0,0,0,Mainland Halifax,Armdale,False,True,False,40,49,38,Owner
260,2569,2,2,0,1161,www.metcap.com,44.6998165,-63.6656001,"40 Bedros Lane, Bedford, NS, B3M 4X1",2.0,0,0,0,1,0,0,1,0,1,0,0,0,Bedford,Bedford Basin,False,False,True,43,38,26,Metcap
261,2461,2,1,0,981,www.metcap.com,44.6564418,-63.6502561,"200 Willet Street, Halifax, NS, B3M 3C5",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Mainland Halifax,Clayton Park,False,False,True,70,51,41,Metcap
262,2199,2,1,1,1200,bayers1-universalgroup.securecafe.com,44.655507,-63.62425972,"6969 Bayers Road, Halifax, NS, B3L 4P3",0.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,True,66,60,73,Universal Group
263,1850,1,1,1,1200,,44.638117,-63.5716494,"Kent St, Halifax, NS B3H",0.0,1,1,1,1,1,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,True,True,False,95,65,54,Owner
264,1100,2,1,1,600,,44.6152562,-63.6153301,"Herring Cove Road, Halifax, NS",0.0,0,1,0,1,0,1,0,1,1,0,0,0,Mainland Halifax,Spryfield,True,True,False,9,26,28,Owner
265,1725,1,1,0,700,,44.6567855,-63.6320172,"Dutch Village Road, Halifax, NS",1.0,0,1,0,0,0,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,False,87,58,73,Owner
266,2400,2,1,1,800,,44.6514737,-63.6023162,"Summit Street, Halifax, NS",0.0,0,1,0,1,1,1,0,0,0,0,0,0,Halifax Peninsula,WestEnd,False,True,True,89,66,76,Not Given
267,2695,2,1,0,850,,44.7076046,-63.666767,"Millview Avenue, Bedford, NS",75.0,0,1,0,0,0,1,0,1,1,0,1,0,Bedford,Bedford Basin,False,True,False,53,37,18,Owner
268,1550,0,1,0,575,,44.6373997,-63.5721108,"Green Street, Halifax, NS",150.0,1,1,1,0,0,0,1,0,1,0,0,1,Halifax Peninsula,SouthEnd,False,True,False,89,64,54,Owner
269,1995,2,1,0,1100,,44.6468235,-63.6006998,"6376 Allan Street, Halifax, NS",65.0,1,1,0,1,0,0,1,0,1,0,1,0,Halifax Peninsula,WestEnd,False,False,False,96,65,75,Owner
270,2200,2,1,0,1000,,44.6363666,-63.5745181,"Victoria Road, Halifax, NS",80.0,0,1,0,1,0,1,0,1,1,0,1,0,Halifax Peninsula,SouthEnd,False,True,False,92,63,67,Owner
271,2400,2,1,0,1000,,44.6458781,-63.5981133,"Yale Street, Halifax, NS",50.0,1,1,0,1,0,1,0,0,1,1,1,0,Halifax Peninsula,WestEnd,False,False,False,97,65,75,Owner
272,2100,2,1,1,1200,,44.6449727,-63.54325656,"Dartmouth, NS B2W 1A1",0.0,0,1,0,1,1,1,0,1,1,0,0,0,Dartmouth,Wooside,False,False,False,34,40,34,Owner
273,2295,2,2,0,1300,,44.7252049,-63.7483418,"Appaloosa Run, Hammonds Plains, NS",125.0,1,1,0,1,0,1,0,1,1,0,0,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
274,2395,2,2,0,1400,,44.72493709,-63.74785038,"183 Appaloosa Run, Upper Hammonds Plains, NS",1.0,1,1,0,1,0,1,0,1,1,0,1,0,Bedford,Hammonds Plains,False,True,False,13,13,28,Owner
275,1975,0,1,0,675,,44.644791,-63.5750508,"1619 Market St, Halifax, NS B3J 2C9",1.0,0,1,0,0,0,0,0,0,0,0,0,1,Halifax Peninsula,Downtown,False,True,False,10,74,74,Owner
276,2550,3,2,1,900,,44.6527718,-63.6411007,"Frederick Avenue, Halifax, NS",0.0,0,1,0,1,0,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,False,75,51,38,Owner
277,1650,1,1,1,700,,44.6527718,-63.6411007,"Frederick Avenue, Halifax, NS",0.0,0,1,0,0,0,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,False,75,51,38,Owner
278,2199,1,1,0,650,www.metcap.com,44.6998165,-63.6656001,"40 Bedros Lane, Bedford, NS, B3M 4X1",2.0,0,0,0,1,0,0,1,0,1,0,0,0,Bedford,Bedford Basin,False,False,True,43,38,26,Metcap
279,2018,1,1,0,747,www.metcap.com,44.6564418,-63.6502561,"200 Willet Street, Halifax, NS, B3M 3C5",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Mainland Halifax,Clayton Park,False,False,True,70,51,41,Metcap
280,2150,2,1,0,815,,44.6625028,-63.5986608,"Gottingen Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,96,70,87,Owner
281,1895,1,1,0,539,,44.6625028,-63.5986608,"Gottingen Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,False,96,70,87,Owner
282,1595,1,1,0,700,,44.6382448,-63.576334,"5650 South Street, Halifax, NS",135.0,0,1,0,1,0,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,97,66,66,Not Given
283,1650,1,1,1,600,,44.6582188,-63.6419702,"Fiske Street, Halifax, NS",0.0,1,1,0,0,0,0,1,0,1,0,0,0,Mainland Halifax,Clayton Park,False,False,True,82,54,45,Not Given
284,1400,1,1,1,600,www.broadwayproperties.ca,44.6785126,-63.5487257,"Dartmouth, NS B2Y 3H7",0.0,1,1,0,0,0,0,1,0,1,0,0,0,Dartmouth,Dartmouth Downtown,False,False,True,68,47,45,Broadwayproperties
285,1800,1,1,1,800,,44.6368086,-63.5705386,"Smith Street, Halifax, NS",0.0,0,1,0,1,0,1,0,0,1,0,0,0,Halifax Peninsula,SouthEnd,True,False,False,92,63,60,Owner
286,2000,2,2,1,1000,,44.7607257,-63.6699492,"249 Sackville Drive, Lower Sackville, NS",0.0,1,1,0,1,0,1,0,1,1,0,0,0,Sackville,Lower Sackville,False,True,False,59,41,25,Owner
287,1599,1,1,0,550,www.northpointhfx.com,44.63594848,-63.57709914,"5713 Victoria Road, Halifax, NS, B3H 2Y3",,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,93,64,67,Northpointhfx
288,2300,2,1,1,1005,,44.6450958,-63.6178613,"Philip Street, Halifax, NS",0.0,1,1,0,1,0,0,1,1,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,88,62,55,Owner
289,1495,1,1,1,900,,44.65739785,-63.65555034,"20 Westridge Dr, Halifax, NS B3M 3K8",0.0,1,1,1,0,0,0,1,0,0,0,0,0,Mainland Halifax,Clayton Park,False,False,False,69,54,46,Owner
290,1700,1,1,1,720,,44.7607257,-63.6699492,"249 Sackville Drive, Lower Sackville, NS",0.0,1,1,0,1,0,1,0,1,1,0,0,0,Sackville,Lower Sackville,False,True,False,59,41,25,Owner
291,1650,2,1,1,500,,44.65506649230769,-63.63520075,"Halifax, NS B3N 2K6",0.0,0,1,0,1,1,0,1,0,0,0,0,0,Mainland Halifax,Clayton Park,False,True,False,84,56,63,Owner
292,2195,2,2,0,1300,,44.7252049,-63.7483418,"Appaloosa Run, Hammonds Plains, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
293,1995,1,1,0,840,,44.6595131,-63.5947171,"5511 Bloomfield Street, Halifax, NS",160.0,1,1,0,1,0,1,0,1,1,0,1,0,Halifax Peninsula,NorthEnd,False,True,False,97,67,79,Owner
294,2195,1,1,0,638,www.templetonproperties.ca,44.6376565,-63.5752872,"5623 Fenwick Street, Halifax, NS, B3H 1R1",1.0,0,0,0,0,0,0,0,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,96,66,63,Templetonproperties
295,1300,2,2,1,1300,,44.7683472,-63.6355166,"Stone Mount Drive, Lower Sackville, NS",0.0,0,1,0,1,0,0,1,1,1,0,0,0,Bedford,Bedford Basin,True,True,False,8,24,13,Owner
296,2595,2,2,0,1338,www.waterfordsuites.com,44.6429159,-63.5703358,"1343 Hollis Street, Halifax, NS, B3J 1T8",1.0,1,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,97,72,61,Waterfordsuites
297,1700,1,1,1,900,,44.64380825,-63.59532391,"1856 Walnut St, Halifax, NS B3H 3S7",0.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,96,66,75,Owner
298,1675,1,1,1,900,,44.64380442,-63.59531551,"1856 Walnut St, Halifax, NS B3H 3S7",,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,0,0,0,Owner
299,1095,2,1,0,967,,44.64155375,-63.58495029,"5885 Spring Garden Road, Halifax, NS",1.0,1,1,0,1,1,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,93,66,80,Owner
300,2655,2,2,0,950,,44.6556847,-63.5988028,"2735 Clifton Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,False,False,97,66,82,Owner
301,1890,1,1,0,660,,44.63592665,-63.57712215,"Halifax, NS B3H 2Y3",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,93,64,67,Owner
302,3300,3,2,1,1574,,44.7003206,-63.6617855,"644 Bedford Highway, Halifax, NS",0.0,1,1,0,1,0,0,1,1,1,0,1,0,Bedford,Bedford Basin,False,True,True,56,38,30,Not Given
303,2250,2,1,0,1000,,44.6323492,-63.5941501,"Halifax, NS B3H 1P5",100.0,1,1,0,0,1,0,1,0,0,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,69,58,65,Owner
304,2760,2,2,0,1505,www.skylineliving.ca,44.7089938,-63.6981306,"120 Tilbury Avenue, Bedford, NS, B4B 1A1",1.0,0,0,0,0,0,0,0,1,0,0,0,0,Bedford,Bedford Basin,False,True,True,6,29,19,Skylineliving
